genres,sentiment,count
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Television",1,4
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Western",0,8
"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Western",1,33
"Action & Adventure, Art House & International, Drama, Romance",0,24
"Action & Adventure, Art House & International, Drama, Romance",1,137
"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",0,81
"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",1,211
"Action & Adventure, Art House & International, Drama, Special Interest",0,38
"Action & Adventure, Art House & International, Drama, Special Interest",1,119
"Action & Adventure, Art House & International, Drama, Sports & Fitness",0,2
"Action & Adventure, Art House & International, Drama, Sports & Fitness",1,15
"Action & Adventure, Art House & International, Drama, Western",0,2
"Action & Adventure, Art House & International, Drama, Western",1,2
"Action & Adventure, Art House & International, Drama, Western, Romance",0,7
"Action & Adventure, Art House & International, Drama, Western, Romance",1,29
"Action & Adventure, Art House & International, Horror",0,11
"Action & Adventure, Art House & International, Horror",1,7
"Action & Adventure, Art House & International, Horror, Musical & Performing Arts, Mystery & Suspense",0,2
"Action & Adventure, Art House & International, Horror, Musical & Performing Arts, Mystery & Suspense",1,2
"Action & Adventure, Art House & International, Horror, Mystery & Suspense",0,14
"Action & Adventure, Art House & International, Horror, Mystery & Suspense",1,69
"Action & Adventure, Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",0,5
"Action & Adventure, Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",1,2
"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",0,50
"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",1,87
"Action & Adventure, Art House & International, Kids & Family",0,3
"Action & Adventure, Art House & International, Kids & Family",1,16
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",0,2
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",1,8
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy, Romance",0,15
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy, Romance",1,3
"Action & Adventure, Art House & International, Mystery & Suspense",0,99
"Action & Adventure, Art House & International, Mystery & Suspense",1,311
"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",0,12
"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",1,41
"Action & Adventure, Art House & International, Science Fiction & Fantasy",0,37
"Action & Adventure, Art House & International, Science Fiction & Fantasy",1,169
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",0,3
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",1,4
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Special Interest, Western",0,19
"Action & Adventure, Art House & International, Science Fiction & Fantasy, Special Interest, Western",1,7
"Action & Adventure, Art House & International, Western",0,10
"Action & Adventure, Art House & International, Western",1,38
"Action & Adventure, Classics",0,54
"Action & Adventure, Classics",1,142
"Action & Adventure, Classics, Comedy",0,17
"Action & Adventure, Classics, Comedy",1,43
"Action & Adventure, Classics, Comedy, Cult Movies, Science Fiction & Fantasy",1,1
"Action & Adventure, Classics, Comedy, Documentary, Drama, Musical & Performing Arts",0,1
"Action & Adventure, Classics, Comedy, Documentary, Drama, Musical & Performing Arts",1,6
"Action & Adventure, Classics, Comedy, Drama",0,10
"Action & Adventure, Classics, Comedy, Drama",1,80
"Action & Adventure, Classics, Comedy, Drama, Kids & Family, Special Interest",1,12
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts",1,6
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Mystery & Suspense",0,1
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Mystery & Suspense",1,2
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",0,3
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",1,3
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Western, Romance",0,1
"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Western, Romance",1,1
"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",0,6
"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",1,35
"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense, Romance",1,13
"Action & Adventure, Classics, Comedy, Drama, Romance",1,21
"Action & Adventure, Classics, Comedy, Horror",0,4
"Action & Adventure, Classics, Comedy, Horror",1,6
"Action & Adventure, Classics, Comedy, Kids & Family",1,10
"Action & Adventure, Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",0,7
"Action & Adventure, Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",1,3
