genres,sentiment,count
"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",Neutral,1
"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",Positive,4
"Action & Adventure, Anime & Manga, Science Fiction & Fantasy",Negative,12
"Action & Adventure, Anime & Manga, Science Fiction & Fantasy",Neutral,6
"Action & Adventure, Anime & Manga, Science Fiction & Fantasy",Positive,40
"Action & Adventure, Art House & International",Negative,359
"Action & Adventure, Art House & International",Neutral,168
"Action & Adventure, Art House & International",Positive,682
"Action & Adventure, Art House & International, Classics",Neutral,1
"Action & Adventure, Art House & International, Classics",Positive,4
"Action & Adventure, Art House & International, Classics, Comedy",Positive,14
"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Negative,5
"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Neutral,3
"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Positive,6
"Action & Adventure, Art House & International, Classics, Comedy, Documentary, Drama",Neutral,1
"Action & Adventure, Art House & International, Classics, Comedy, Documentary, Drama",Positive,5
"Action & Adventure, Art House & International, Classics, Drama",Negative,151
"Action & Adventure, Art House & International, Classics, Drama",Neutral,141
"Action & Adventure, Art House & International, Classics, Drama",Positive,600
"Action & Adventure, Art House & International, Classics, Drama, Kids & Family",Negative,5
"Action & Adventure, Art House & International, Classics, Drama, Kids & Family",Neutral,4
"Action & Adventure, Art House & International, Classics, Drama, Kids & Family",Positive,19
"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",Negative,22
"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",Neutral,22
"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",Positive,82
"Action & Adventure, Art House & International, Classics, Drama, Romance",Negative,29
"Action & Adventure, Art House & International, Classics, Drama, Romance",Neutral,13
"Action & Adventure, Art House & International, Classics, Drama, Romance",Positive,66
"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",Negative,35
"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",Neutral,39
"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",Positive,148
"Action & Adventure, Art House & International, Classics, Kids & Family, Science Fiction & Fantasy",Negative,2
"Action & Adventure, Art House & International, Classics, Kids & Family, Science Fiction & Fantasy",Neutral,1
"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Negative,6
"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Neutral,6
"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Positive,4
"Action & Adventure, Art House & International, Classics, Science Fiction & Fantasy",Negative,2
"Action & Adventure, Art House & International, Classics, Science Fiction & Fantasy",Neutral,2
"Action & Adventure, Art House & International, Classics, Science Fiction & Fantasy",Positive,18
"Action & Adventure, Art House & International, Classics, Western",Negative,26
"Action & Adventure, Art House & International, Classics, Western",Neutral,28
"Action & Adventure, Art House & International, Classics, Western",Positive,63
"Action & Adventure, Art House & International, Comedy",Negative,129
"Action & Adventure, Art House & International, Comedy",Neutral,112
"Action & Adventure, Art House & International, Comedy",Positive,507
"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",Negative,152
"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",Neutral,60
"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",Positive,174
"Action & Adventure, Art House & International, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Neutral,1
"Action & Adventure, Art House & International, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Positive,2
"Action & Adventure, Art House & International, Comedy, Documentary, Drama",Negative,6
"Action & Adventure, Art House & International, Comedy, Documentary, Drama",Neutral,2
"Action & Adventure, Art House & International, Comedy, Documentary, Drama",Positive,5
"Action & Adventure, Art House & International, Comedy, Drama",Negative,36
"Action & Adventure, Art House & International, Comedy, Drama",Neutral,32
"Action & Adventure, Art House & International, Comedy, Drama",Positive,90
"Action & Adventure, Art House & International, Comedy, Drama, Gay & Lesbian",Negative,1
"Action & Adventure, Art House & International, Comedy, Drama, Gay & Lesbian",Neutral,1
"Action & Adventure, Art House & International, Comedy, Drama, Gay & Lesbian",Positive,2
"Action & Adventure, Art House & International, Comedy, Drama, Horror",Negative,60
"Action & Adventure, Art House & International, Comedy, Drama, Horror",Neutral,27
"Action & Adventure, Art House & International, Comedy, Drama, Horror",Positive,98
"Action & Adventure, Art House & International, Comedy, Drama, Kids & Family",Positive,6
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts",Negative,4
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts",Positive,4
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts, Romance",Negative,1
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts, Romance",Neutral,1
"Action & Adventure, Art House & International, Comedy, Drama, Musical & Performing Arts, Romance",Positive,9
