genres,review_type,count
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",Rotten,105
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy, Romance",Fresh,6
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy, Romance",Rotten,5
"Action & Adventure, Classics, Drama, Special Interest",Fresh,15
"Action & Adventure, Classics, Drama, Sports & Fitness",Rotten,1
"Action & Adventure, Classics, Drama, Western",Fresh,325
"Action & Adventure, Classics, Drama, Western",Rotten,44
"Action & Adventure, Classics, Drama, Western, Romance",Fresh,17
"Action & Adventure, Classics, Drama, Western, Romance",Rotten,5
"Action & Adventure, Classics, Horror",Fresh,82
"Action & Adventure, Classics, Horror",Rotten,26
"Action & Adventure, Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",Fresh,5
"Action & Adventure, Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",Rotten,1
"Action & Adventure, Classics, Horror, Science Fiction & Fantasy",Fresh,34
"Action & Adventure, Classics, Horror, Science Fiction & Fantasy",Rotten,7
"Action & Adventure, Classics, Kids & Family",Fresh,9
"Action & Adventure, Classics, Kids & Family, Romance",Fresh,7
"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy",Fresh,65
"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy",Rotten,4
"Action & Adventure, Classics, Musical & Performing Arts",Fresh,1
"Action & Adventure, Classics, Musical & Performing Arts",Rotten,3
"Action & Adventure, Classics, Musical & Performing Arts, Science Fiction & Fantasy",Fresh,10
"Action & Adventure, Classics, Musical & Performing Arts, Science Fiction & Fantasy",Rotten,13
"Action & Adventure, Classics, Mystery & Suspense",Fresh,226
"Action & Adventure, Classics, Mystery & Suspense",Rotten,25
"Action & Adventure, Classics, Mystery & Suspense, Romance",Fresh,117
"Action & Adventure, Classics, Mystery & Suspense, Romance",Rotten,98
